iter	Passed	Remaining
0	161	161503
1	163	81615
2	166	55233
3	168	41965
4	171	34111
5	173	28799
6	176	24989
7	178	22177
8	181	19936
9	183	18124
10	184	16630
11	187	15398
12	189	14370
13	191	13483
14	193	12693
15	195	12019
16	197	11428
17	199	10894
18	201	10425
19	203	9989
20	206	9603
21	208	9247
22	209	8917
23	211	8611
24	213	8336
25	215	8076
26	217	7839
27	219	7621
28	221	7412
29	223	7216
30	225	7034
31	226	6862
32	228	6698
33	230	6544
34	232	6400
35	234	6270
36	235	6142
37	237	6022
38	239	5909
39	241	5804
40	243	5701
41	245	5602
42	247	5513
43	249	5428
44	251	5342
45	253	5264
46	255	5187
47	257	5112
48	259	5039
49	261	4969
50	263	4902
51	265	4835
52	267	4772
53	269	4712
54	270	4652
55	272	4597
56	274	4544
57	276	4491
58	278	4441
59	280	4391
60	282	4343
61	284	4297
62	285	4253
63	287	4211
64	289	4168
65	291	4127
66	293	4089
67	295	4049
68	297	4013
69	299	3976
70	301	3939
71	302	3904
72	304	3870
73	306	3839
74	308	3810
75	310	3778
76	312	3748
77	314	3718
78	316	3690
79	318	3660
80	320	3632
81	321	3603
82	322	3568
83	324	3540
84	326	3515
85	328	3492
86	330	3468
87	332	3445
88	334	3424
89	336	3404
90	338	3381
91	340	3361
92	342	3341
93	344	3323
94	346	3300
95	348	3281
96	350	3259
97	352	3240
98	354	3223
99	355	3202
100	357	3184
101	359	3167
102	361	3151
103	363	3133
104	365	3118
105	367	3102
106	369	3086
107	371	3071
108	374	3058
109	376	3045
110	378	3031
111	380	3016
112	382	2998
113	385	2993
114	388	2989
115	391	2983
116	392	2963
117	394	2950
118	397	2939
119	399	2927
120	401	2914
121	402	2900
122	404	2886
123	407	2877
124	409	2869
125	411	2857
126	413	2842
127	415	2832
128	418	2824
129	420	2812
130	422	2802
131	424	2790
132	426	2779
133	428	2769
134	430	2758
135	432	2747
136	434	2740
137	436	2729
138	438	2717
139	440	2707
140	442	2696
141	443	2681
142	445	2671
143	448	2663
144	450	2656
145	452	2647
146	454	2637
147	456	2626
148	458	2617
149	460	2608
150	462	2598
151	464	2590
152	466	2582
153	467	2570
154	470	2562
155	472	2555
156	474	2546
157	476	2538
158	478	2530
159	480	2522
160	482	2512
161	484	2505
162	485	2495
163	487	2487
164	490	2481
165	491	2470
166	494	2464
167	496	2461
168	498	2451
169	501	2446
170	503	2439
171	505	2434
172	507	2427
173	510	2422
174	512	2417
175	514	2410
176	517	2404
177	519	2399
178	522	2395
179	524	2389
180	526	2383
181	528	2375
182	530	2370
183	533	2364
184	535	2357
185	537	2351
186	539	2346
187	541	2340
188	544	2334
189	546	2327
190	547	2318
191	549	2313
192	552	2308
193	554	2303
194	556	2298
195	559	2293
196	561	2289
197	564	2284
198	566	2279
199	568	2274
200	571	2270
201	573	2264
202	575	2259
203	577	2254
204	580	2250
205	582	2244
206	584	2238
207	586	2234
208	588	2228
209	591	2224
210	593	2219
211	595	2214
212	598	2210
213	600	2205
214	602	2199
215	604	2195
216	607	2190
217	609	2184
218	611	2179
219	613	2173
220	615	2169
221	617	2164
222	619	2159
223	622	2155
224	624	2150
225	626	2145
226	628	2139
227	631	2136
228	633	2131
229	634	2125
230	636	2120
231	639	2115
232	641	2110
233	643	2104
234	645	2100
235	647	2096
236	650	2092
237	652	2089
238	654	2084
239	657	2082
240	659	2078
241	662	2074
242	664	2070
243	666	2065
244	669	2061
245	671	2057
246	673	2052
247	675	2049
248	678	2045
249	680	2040
250	682	2035
251	684	2030
252	686	2025
253	688	2022
254	690	2018
255	692	2013
256	694	2008
257	696	2003
258	698	1998
259	700	1994
260	702	1990
261	705	1986
262	707	1982
263	710	1979
264	712	1974
265	714	1971
266	716	1967
267	719	1963
268	720	1958
269	722	1953
270	724	1950
271	726	1945
272	729	1941
273	730	1935
274	731	1928
275	734	1926
276	736	1921
277	739	1920
278	741	1917
279	745	1917
280	748	1914
281	751	1913
282	753	1909
283	755	1905
284	758	1903
285	760	1899
286	763	1895
287	765	1891
288	767	1888
289	769	1883
290	771	1879
291	774	1877
292	776	1874
293	779	1871
294	781	1866
295	783	1862
296	785	1858
297	787	1855
298	791	1855
299	793	1851
300	795	1847
301	797	1843
302	799	1839
303	801	1835
304	804	1832
305	806	1828
306	807	1823
307	810	1819
308	812	1816
309	814	1812
310	816	1808
311	818	1805
312	821	1803
313	824	1801
314	827	1800
315	829	1796
316	831	1792
317	833	1788
318	835	1784
319	837	1780
320	839	1776
321	842	1772
322	843	1768
323	845	1764
324	847	1760
325	849	1756
326	851	1752
327	853	1748
328	855	1744
329	857	1740
330	859	1736
331	861	1732
332	862	1728
333	864	1724
334	866	1719
335	868	1716
336	870	1712
337	872	1709
338	875	1706
339	876	1702
340	878	1698
341	880	1694
342	882	1690
343	884	1687
344	886	1683
345	889	1680
346	891	1676
347	893	1673
348	894	1669
349	896	1665
350	898	1662
351	901	1659
352	903	1655
353	905	1651
354	906	1647
355	908	1643
356	910	1640
357	912	1636
358	914	1633
359	916	1630
360	917	1624
361	919	1620
362	920	1615
363	922	1611
364	923	1606
365	924	1602
366	926	1598
367	928	1593
368	929	1590
369	931	1586
370	933	1582
371	935	1579
372	937	1576
373	939	1573
374	941	1569
375	943	1565
376	946	1563
377	949	1562
378	951	1559
379	954	1557
380	956	1554
381	958	1551
382	960	1547
383	962	1543
384	964	1540
385	966	1536
386	967	1533
387	970	1530
388	972	1528
389	974	1524
390	976	1521
391	980	1520
392	983	1518
393	985	1515
394	987	1512
395	989	1509
396	991	1505
397	993	1503
398	995	1499
399	997	1496
400	998	1492
401	1000	1488
